[GIN] 2022/07/11 - 12:48:08 | 200 |      4.1515ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:48:08 | 200 |      29.113ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:48:08 | 200 |       2.396ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 12:48:08 | 200 |      2.2439ms |     172.21.96.1 | POST     "/device/"
[GIN] 2022/07/11 - 12:48:12 | 200 |       4.113ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 12:48:12 | 200 |      5.5136ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 12:48:12 | 200 |      23.587ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:49:55 | 400 |      3.0115ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 12:52:16 | 400 |      3.2154ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:23:30 | 400 |      3.0397ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:27:12 | 400 |      3.0384ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:27:51 | 400 |      3.0336ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:29:13 | 400 |      5.8665ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:29:56 | 400 |      3.2625ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:32:58 | 400 |      4.6217ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:33:34 | 400 |     16.9038ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:36:17 | 400 |       26.15ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:36:52 | 400 |     16.0513ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:38:00 | 200 |     26.3443ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 09:38:00 | 200 |     29.4124ms |     172.21.96.1 | PATCH    "/task/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 09:40:09 | 200 |     10.0009ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      9.0244ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      8.8489ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:40:09 | 200 |     11.3977ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      5.3106ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      5.2939ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      3.9213ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:40:09 | 200 |     44.8775ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      2.9467ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 09:40:09 | 200 |      2.6086ms |     172.21.96.1 | POST     "/device/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      5.8047ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      7.7555ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      2.5156ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      2.6335ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      2.3586ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      5.7005ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 09:42:09 | 200 |     25.6956ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      5.0069ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 09:42:09 | 200 |      3.8291ms |     172.21.96.1 | POST     "/device/"
[GIN] 2022/07/11 - 09:44:00 | 200 |     11.3878ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:44:00 | 200 |      5.1739ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:44:00 | 200 |     19.8876ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:44:06 | 200 |     10.5476ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 09:53:39 | 200 |      9.6181ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:53:39 | 200 |     10.1124ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:53:39 | 200 |     20.7733ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:53:45 | 200 |      2.7925ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 09:54:39 | 200 |      4.5291ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:54:39 | 200 |      8.2419ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:54:39 | 200 |     28.5201ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:54:45 | 200 |      2.3414ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 09:56:11 | 200 |      7.6624ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:56:11 | 200 |     11.5734ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:56:11 | 200 |      53.628ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:56:21 | 200 |      5.8069ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 09:57:04 | 200 |      4.9336ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 09:57:04 | 200 |      5.6982ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 09:57:04 | 200 |      70.583ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 09:57:10 | 200 |     23.0318ms |     172.21.96.1 | GET      "/task_batch/7d692e16-6eb9-46c7-8fa6-69fac945324c/"
[GIN] 2022/07/11 - 10:08:42 | 200 |     16.2262ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 10:08:42 | 200 |      11.112ms |     172.21.96.1 | PATCH    "/task_batch/cb42c8f3-baa1-4996-a5c9-61e43ad59174/"
[GIN] 2022/07/11 - 10:08:42 | 200 |     23.7441ms |     172.21.96.1 | POST     "/task_batch/create/"
[GIN] 2022/07/11 - 10:11:45 | 200 |      11.104ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:11:45 | 200 |      7.5261ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:11:45 | 200 |      4.1979ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 10:11:45 | 200 |       3.039ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 10:11:45 | 200 |      6.2023ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 10:11:45 | 200 |       8.983ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 10:11:46 | 200 |     84.8619ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 10:11:46 | 200 |       9.217ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 10:11:46 | 200 |     14.5657ms |     172.21.96.1 | POST     "/device/"
[GIN] 2022/07/11 - 10:11:49 | 200 |      4.4174ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 10:11:49 | 200 |      3.3015ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 10:11:49 | 200 |     31.3007ms |     172.21.96.1 | POST     "/task/"
