[GIN] 2022/07/14 - 18:21:30 | 200 |    4.482583ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:21:30 | 200 |    2.451375ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:21:30 | 200 |   11.000917ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:21:31 | 200 |    1.508208ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:21:37 | 200 |   15.051709ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:21:37 | 200 |    9.975458ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:21:43 | 200 |   20.669834ms |  192.168.50.227 | PATCH    "/task_batch/1fc2478d-cfcc-49b8-9279-de091920135e/"
[GIN] 2022/07/14 - 18:21:43 | 200 |    8.976875ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:22:28 | 200 |    4.222542ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:22:28 | 200 |       10.34ms |  192.168.50.227 | POST     "/job/"
[GIN] 2022/07/14 - 18:22:28 | 200 |    2.522708ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:22:33 | 200 |    3.723167ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:22:33 | 200 |    3.002458ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:22:33 | 200 |   10.102667ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:22:35 | 200 |    1.545791ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:22:40 | 200 |   11.656125ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:22:40 | 200 |      8.2175ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:22:45 | 200 |   23.441917ms |  192.168.50.227 | PATCH    "/task_batch/114bc355-5f6b-4e2c-a771-7f23f6c273c6/"
[GIN] 2022/07/14 - 18:22:45 | 200 |   10.526666ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:23:27 | 200 |    4.074625ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:23:27 | 200 |    3.183666ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:23:27 | 200 |    9.911042ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:23:29 | 200 |    8.631334ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:27:40 | 200 |    3.390583ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:27:40 | 200 |    2.006084ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:27:40 | 200 |    7.135083ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:27:42 | 200 |    1.337458ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:27:50 | 200 |     14.3825ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:27:50 | 200 |    8.208833ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:30:50 | 200 |    3.310875ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:30:50 | 200 |    2.252625ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:30:50 | 200 |      7.5465ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:30:52 | 200 |    7.561083ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:30:59 | 200 |   20.278083ms |  192.168.50.227 | PATCH    "/task_batch/b6df4e80-0cd4-4e73-a5b4-c6372c7569f3/"
[GIN] 2022/07/14 - 18:30:59 | 200 |      8.2265ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:31:03 | 200 |   24.513333ms |  192.168.50.227 | PATCH    "/task_batch/935b734a-66b3-46f2-abef-26aa20fbfa20/"
[GIN] 2022/07/14 - 18:31:03 | 200 |    8.606041ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:31:49 | 200 |    3.429459ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:31:49 | 200 |    2.116375ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:31:49 | 200 |    8.933125ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:31:51 | 200 |    1.502209ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:31:55 | 200 |   15.860125ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:31:55 | 200 |     8.64575ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:32:01 | 200 |   17.141584ms |  192.168.50.227 | PATCH    "/task_batch/ff12bc08-672f-4634-914a-0f2d53c739ab/"
[GIN] 2022/07/14 - 18:32:01 | 200 |    9.349958ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:32:10 | 200 |   21.776958ms |  192.168.50.227 | PATCH    "/task_batch/dac9a1a3-4baa-41e9-b983-027ffadc59ca/"
[GIN] 2022/07/14 - 18:32:10 | 200 |    9.767708ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:32:53 | 200 |    3.638833ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:32:53 | 200 |    3.646417ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:32:53 | 200 |   10.378541ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:32:54 | 200 |    8.343583ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:33:38 | 200 |   24.163916ms |  192.168.50.227 | PATCH    "/task_batch/f64e0010-a87c-459e-b75e-eedece213496/"
[GIN] 2022/07/14 - 18:33:38 | 200 |   10.658333ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:33:49 | 200 |   22.848625ms |  192.168.50.227 | PATCH    "/task_batch/4f50a288-b061-4b3c-83df-1b511a27cc80/"
[GIN] 2022/07/14 - 18:33:49 | 200 |   10.140709ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:34:08 | 200 |    4.336708ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:34:08 | 200 |       2.808ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:34:08 | 200 |   11.786708ms |  192.168.50.227 | POST     "/task/"
