[GIN] 2022/07/29 - 11:44:39 | 200 |    117.1465ms |    172.23.208.1 | POST     "/auth/login/"
[GIN] 2022/07/29 - 11:44:39 | 200 |      9.5988ms |    172.23.208.1 | GET      "/auth/refresh/"
[GIN] 2022/07/29 - 11:44:39 | 200 |      4.6193ms |    172.23.208.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/29 - 11:44:40 | 200 |      8.5177ms |    172.23.208.1 | POST     "/shift/"
[GIN] 2022/07/29 - 11:44:40 | 200 |      9.3852ms |    172.23.208.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/29 - 11:44:40 | 200 |      8.2322ms |    172.23.208.1 | POST     "/line/"
[GIN] 2022/07/29 - 11:44:40 | 200 |     10.2956ms |    172.23.208.1 | POST     "/downtime/"
[GIN] 2022/07/29 - 11:44:40 | 200 |      4.6282ms |    172.23.208.1 | POST     "/downtime/"
[GIN] 2022/07/29 - 11:44:40 | 200 |      4.2731ms |    172.23.208.1 | POST     "/downtime/"
[GIN] 2022/07/29 - 11:44:40 | 200 |      4.1812ms |    172.23.208.1 | POST     "/downtime/"
[GIN] 2022/07/29 - 11:44:40 | 200 |     62.4827ms |    172.23.208.1 | POST     "/task/"
[GIN] 2022/07/29 - 11:44:40 | 200 |     42.5839ms |    172.23.208.1 | GET      "/task_batch/3ca31c49-f28f-49e8-a899-232e49ae399d/"
[GIN] 2022/07/29 - 11:44:40 | 200 |     49.9586ms |    172.23.208.1 | GET      "/task_batch/73116781-c1b4-49e8-bea2-68ef6581ba58/"
[GIN] 2022/07/29 - 11:44:40 | 200 |     36.5746ms |    172.23.208.1 | GET      "/task_batch/c75d25fc-e003-4103-af15-7be956e88b73/"
[GIN] 2022/07/29 - 11:44:40 | 200 |     17.8404ms |    172.23.208.1 | POST     "/device/"
[GIN] 2022/07/29 - 11:44:40 | 200 |      4.8493ms |    172.23.208.1 | POST     "/device_data/"
[GIN] 2022/07/29 - 11:45:43 | 200 |      6.3972ms |    172.23.208.1 | POST     "/line/"
