[GIN] 2022/07/16 - 13:40:54 | 200 |   10.571167ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:40:54 | 200 |    1.539917ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/16 - 13:40:54 | 200 |    4.209375ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:42:27 | 200 |    4.842083ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:42:27 | 200 |    2.677083ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:42:27 | 200 |   12.102167ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:42:28 | 200 |    9.745792ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:42:28 | 200 |    3.273917ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:42:28 | 200 |    2.722083ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:42:28 | 200 |       2.903ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:43:04 | 200 |    6.168541ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:43:04 | 200 |    2.747875ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:43:04 | 200 |   11.587792ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:43:06 | 200 |    12.35375ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:43:06 | 200 |    4.343375ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:43:06 | 200 |      1.3875ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:43:06 | 200 |    3.839083ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:43:33 | 200 |    5.644625ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:43:33 | 200 |    2.515125ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:43:33 | 200 |     13.6615ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:43:35 | 200 |    9.076791ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:43:35 | 200 |    3.908542ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:43:35 | 200 |    1.691667ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/16 - 13:43:35 | 200 |    2.863583ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:44:38 | 200 |   10.124416ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:44:38 | 200 |    4.155708ms |  192.168.50.227 | POST     "/shift/"
