[GIN] 2022/07/01 - 15:02:59 | 200 |     92.3969ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/07/01 - 15:02:59 | 200 |      7.0574ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/07/01 - 15:02:59 | 200 |      3.0456ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/01 - 15:02:59 | 200 |      3.0091ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/07/01 - 15:02:59 | 200 |      2.5549ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/07/01 - 15:02:59 | 200 |      4.6651ms |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/01 - 15:03:33 | 200 |     70.3676ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/07/01 - 15:03:33 | 200 |      5.6968ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/07/01 - 15:03:33 | 200 |      5.1862ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/01 - 15:03:33 | 200 |      2.2546ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/07/01 - 15:03:33 | 200 |       136.4µs |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/01 - 15:03:33 | 200 |      5.9863ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/07/01 - 15:03:36 | 200 |      2.7149ms |    172.19.176.1 | POST     "/sku/"
[GIN] 2022/07/01 - 15:04:21 | 200 |     70.5596ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/07/01 - 15:04:21 | 200 |      6.7944ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/07/01 - 15:04:21 | 200 |      2.7653ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/01 - 15:04:22 | 200 |      9.8004ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/07/01 - 15:04:22 | 200 |       339.7µs |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/01 - 15:04:22 | 200 |      5.4449ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/07/01 - 15:04:25 | 200 |      2.8573ms |    172.19.176.1 | POST     "/sku/"
[GIN] 2022/07/01 - 15:07:50 | 200 |    3.9289273s |    172.19.176.1 | GET      "/job/"
[GIN] 2022/07/01 - 15:08:20 | 200 |    1.9926181s |    172.19.176.1 | GET      "/job/"
[GIN] 2022/07/01 - 15:08:22 | 200 |      8.3096ms |    172.19.176.1 | POST     "/sku/"
[GIN] 2022/07/01 - 15:08:31 | 200 |     21.0323ms |    172.19.176.1 | POST     "/sku/"
