[GIN] 2022/06/29 - 12:02:13 | 200 |     90.2506ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/06/29 - 12:02:13 | 200 |     12.9272ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/29 - 12:02:13 | 200 |      2.9655ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/06/29 - 12:02:13 | 200 |      7.2437ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/06/29 - 12:02:13 | 200 |      7.7124ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/06/29 - 12:02:13 | 200 |     11.6683ms |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/06/29 - 12:02:13 | 200 |      4.4496ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/29 - 12:02:13 | 200 |      9.8481ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/29 - 12:02:13 | 200 |     48.0812ms |    172.19.176.1 | POST     "/task/"
[GIN] 2022/06/29 - 12:02:13 | 200 |     27.5867ms |    172.19.176.1 | POST     "/sku_speed/"
[GIN] 2022/06/29 - 12:02:13 | 200 |     27.7967ms |    172.19.176.1 | POST     "/device/"
[GIN] 2022/06/29 - 12:02:13 | 200 |     17.9504ms |    172.19.176.1 | POST     "/device_data/"
[GIN] 2022/06/29 - 12:02:19 | 400 |    696.1099ms |    172.19.176.1 | GET      "/job/"
[GIN] 2022/06/29 - 12:02:45 | 200 |      2.3978ms |    172.19.176.1 | POST     "/auth/logout/"
[GIN] 2022/06/29 - 15:25:10 | 200 |    128.1203ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      7.0232ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      4.0906ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      9.8792ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/06/29 - 15:25:10 | 200 |     10.3325ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/06/29 - 15:25:10 | 200 |     10.9729ms |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/06/29 - 15:25:10 | 200 |      6.3243ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      3.1653ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/29 - 15:25:10 | 200 |     23.7605ms |    172.19.176.1 | POST     "/task/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      19.274ms |    172.19.176.1 | POST     "/sku_speed/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      9.7577ms |    172.19.176.1 | POST     "/device/"
[GIN] 2022/06/29 - 15:25:10 | 200 |      6.3402ms |    172.19.176.1 | POST     "/device_data/"
[GIN] 2022/06/29 - 15:25:19 | 200 |     10.3371ms |    172.19.176.1 | POST     "/auth/logout/"
