[GIN] 2022/06/27 - 15:21:15 | 200 |    104.6313ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/06/27 - 15:21:15 | 200 |      7.7532ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/27 - 15:21:15 | 200 |      4.3222ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/06/27 - 15:21:15 | 200 |     10.8507ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/06/27 - 15:21:15 | 200 |     14.2133ms |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/06/27 - 15:21:15 | 200 |     22.6074ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/06/27 - 15:21:15 | 200 |      3.6666ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/27 - 15:21:15 | 200 |      4.0272ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/27 - 15:21:15 | 200 |     37.7162ms |    172.19.176.1 | POST     "/task/"
[GIN] 2022/06/27 - 15:21:15 | 200 |     67.7597ms |    172.19.176.1 | POST     "/sku_speed/"
[GIN] 2022/06/27 - 15:21:16 | 200 |     27.6148ms |    172.19.176.1 | POST     "/device/"
[GIN] 2022/06/27 - 15:21:16 | 200 |      4.0222ms |    172.19.176.1 | POST     "/device_data/"
[GIN] 2022/06/27 - 15:22:12 | 200 |    117.4096ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/06/27 - 15:22:12 | 200 |       7.133ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/27 - 15:22:12 | 200 |      3.1585ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/06/27 - 15:22:12 | 200 |      9.0845ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/06/27 - 15:22:12 | 200 |       167.8µs |    172.19.176.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/06/27 - 15:22:12 | 200 |     17.8236ms |    172.19.176.1 | POST     "/line/"
[GIN] 2022/06/27 - 15:22:12 | 200 |     10.2061ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/27 - 15:22:12 | 200 |      7.4266ms |    172.19.176.1 | POST     "/downtime/"
[GIN] 2022/06/27 - 15:22:12 | 200 |     63.8816ms |    172.19.176.1 | POST     "/task/"
[GIN] 2022/06/27 - 15:22:13 | 200 |     34.0774ms |    172.19.176.1 | POST     "/sku_speed/"
[GIN] 2022/06/27 - 15:22:13 | 200 |     22.7659ms |    172.19.176.1 | POST     "/device/"
[GIN] 2022/06/27 - 15:22:13 | 200 |      6.5357ms |    172.19.176.1 | POST     "/device_data/"
[GIN] 2022/06/27 - 15:22:17 | 200 |      5.5496ms |    172.19.176.1 | POST     "/plant/"
[GIN] 2022/06/27 - 16:04:56 | 200 |     71.6924ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/27 - 16:04:57 | 200 |     10.0287ms |    172.19.176.1 | POST     "/plant/"
[GIN] 2022/06/27 - 16:05:22 | 200 |     49.9927ms |    172.19.176.1 | POST     "/sku/create/"
[GIN] 2022/06/27 - 16:05:22 | 200 |     14.4376ms |    172.19.176.1 | POST     "/plant/"
[GIN] 2022/06/27 - 16:06:20 | 200 |     34.1256ms |    172.19.176.1 | POST     "/sku/create/"
[GIN] 2022/06/27 - 16:06:20 | 200 |     18.2662ms |    172.19.176.1 | POST     "/plant/"
[GIN] 2022/06/27 - 17:00:22 | 200 |     19.8261ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/27 - 17:00:22 | 200 |      4.4521ms |    172.19.176.1 | POST     "/auth/logout/"
[GIN] 2022/06/27 - 17:00:29 | 200 |     82.2456ms |    172.19.176.1 | POST     "/auth/login/"
[GIN] 2022/06/27 - 17:00:29 | 200 |      9.0517ms |    172.19.176.1 | GET      "/auth/refresh/"
[GIN] 2022/06/27 - 17:00:29 | 200 |       5.386ms |    172.19.176.1 | GET      "/user/rishabh2791/"
[GIN] 2022/06/27 - 17:00:29 | 200 |      4.5917ms |    172.19.176.1 | POST     "/shift/"
[GIN] 2022/06/27 - 17:00:29 | 200 |      3.6988ms |    172.19.176.1 | POST     "/line/"
